"country_code","year","conference","delegates","location","polity2","regqual","distance","opecdummy","logpop","logco2percap","loggdppercap","unsc","g20","envministry","envrecipient","envdonor","envcpia","envtreaty","logbiodiversity","wbeb","cdmdonor","cdmhost","foodprod","lognatdiaster","loggefdon","corrupt_control","corrupt_perception","corrupt_parking","fossil_fuel_use","log_fossil_fuel_use","dem_dummy"
"ALB",2009,"COP15",16,"Copenhagen",9,0.247665405,1679.912,0,6.498473901,-0.407823243,3.614278528,0,0,NA,2540459.629,NA,NA,NA,-0.719114896,0,0,0,0.0401177,0,0,-0.778729438781738,NA,85.5,NA,NA,1
"ARG",2009,"COP15",17,"Copenhagen",8,-0.846204221,12089.47,0,7.602316594,0.090258053,3.975756599,0,1,NA,1705630.164,NA,NA,NA,1.258046695,1,0,1,-0.1735301,0,5.202409298,-0.445909202098846,NA,4,730.0044,6.59305056152153,1
"AUS",2009,"COP15",98,"Copenhagen",10,1.816936135,16054.1,0,7.338033947,0.674952948,4.630450233,0,1,NA,NA,47373189.57,NA,NA,1.962484145,1,1,0,0.0159607,3.998041264,7.130689503,1.97750723361969,NA,0,1450.3665,7.27957156209723,1
"AUT",2009,"COP15",53,"Copenhagen",10,1.464869976,868.5304,0,6.922480223,0.316180099,4.678101127,1,0,NA,NA,3764529.75,NA,NA,-0.473299907,1,1,0,-0.016654,NA,6.963000498,1.42725443840027,NA,2.2,267.22955,5.58810802686509,1
"BDI",2009,"COP15",18,"Copenhagen",6,-1.147977591,6746.239,0,6.950690307,-1.958607315,2.28980441,0,0,NA,1597180.466,NA,3,NA,-0.384662758,1,0,0,0.0621819,5.255274918,0,-1.46860635280609,NA,38.2,NA,NA,1
"BEL",2009,"COP15",93,"Copenhagen",8,1.322239161,767.1575,0,7.033282708,0.416806872,4.653204808,0,0,NA,NA,11127157.31,NA,NA,-1.935735277,1,1,0,0.0399179,NA,7.497792318,1.55911040306091,NA,2.7,571.00775,6.34740278224341,1
"BEN",2009,"COP15",11,"Copenhagen",7,-0.328782767,5555.601,0,6.965708772,-0.850780887,2.852812545,0,0,NA,1195519.542,NA,3.5,NA,-0.633145932,0,0,0,0.0132022,0,0,-0.857918381690979,NA,50.4,NA,NA,1
"BGR",2009,"COP15",15,"Copenhagen",9,0.66209501,1639.385,0,6.879963086,0.193402903,3.828537475,0,0,NA,NA,NA,NA,NA,-0.062572407,0,0,0,-0.079906,0,0,-0.281460791826248,NA,119,150.88222,5.01649953245665,1
"BOL",2009,"COP15",75,"Copenhagen",7,-0.85574311,10961.65,0,6.999713532,-0.407823243,3.239335365,0,0,NA,10478259.84,NA,4,NA,1.120516344,0,0,1,0.0710297,0,0,-0.727891862392426,NA,3.1,NA,NA,1
"BRA",2009,"COP15",566,"Copenhagen",8,0.10953667,10431.67,0,8.286660594,-0.283162277,3.934639623,0,1,NA,29508110.09,NA,NA,NA,2,1,0,1,0.0023975,0,0,-0.0468542315065861,NA,30.3,1554.6952,7.34903479253857,1
