"country_code","year","conference","delegates","location","polity2","regqual","distance","opecdummy","logpop","logco2percap","loggdppercap","unsc","g20","envministry","envrecipient","envdonor","envcpia","envtreaty","logbiodiversity","wbeb","cdmdonor","cdmhost","foodprod","lognatdiaster","loggefdon","corrupt_control","corrupt_perception","corrupt_parking","fossil_fuel_use","log_fossil_fuel_use","dem_dummy"
"LUX",2015,"COP21",49,"Paris",10,NA,289.1023,0,5.75557303,1.256477206,5.008216044,0,0,NA,NA,NA,NA,NA,-2.668425534,0,0,0,NA,NA,NA,2.04786849021912,85,NA,40.869637,3.71038741571634,1
"MEX",2015,"COP21",27,"Paris",8,NA,9206.813,0,8.099994507,0.57054294,3.961094823,0,1,NA,NA,NA,NA,NA,1.858819582,0,0,1,NA,0,NA,-0.948684394359589,31,4,2043.2847,7.62231393900011,1
"NAM",2015,"COP21",93,"Paris",6,NA,8084.97,0,6.384812201,0.176091259,3.675564798,0,0,NA,NA,NA,NA,NA,0.74197592,0,0,0,NA,5.763428742,NA,0.307371318340302,53,4.3,NA,NA,1
"NIC",2015,"COP21",10,"Paris",9,NA,8906.699,0,6.784048915,-0.091514981,3.321384335,0,0,NA,NA,NA,3.5,NA,0.533481467,0,0,0,NA,0,NA,-1.02382683753967,27,4.9,NA,NA,1
"NOR",2015,"COP21",69,"Paris",10,NA,1342.89,0,6.715050777,0.91750551,4.872186856,0,0,NA,NA,NA,NA,NA,0.163916235,0,0,0,NA,NA,NA,2.05011701583862,88,0,169.07034,5.13031484134821,1
"PAK",2015,"COP21",73,"Paris",7,NA,5932.586,0,8.277335289,-0.031517051,3.155713942,0,0,NA,NA,NA,3,NA,0.696592711,1,0,0,NA,0,NA,-0.801387310028076,30,70.3,713.56506,6.57027361706259,1
"PAN",2015,"COP21",54,"Paris",9,NA,8671.104,0,6.598708344,0.416640507,4.118398456,0,0,NA,NA,NA,NA,NA,1.054884687,0,0,1,NA,0,NA,-0.610022246837616,39,0,NA,NA,1
"PER",2015,"COP21",252,"Paris",9,NA,10268.11,0,7.496606864,0.225309282,3.780342034,0,0,NA,NA,NA,NA,NA,1.542065406,0,0,1,NA,0,NA,-0.597704648971558,36,3.1,208.54565,5.34015796211806,1
"POL",2015,"COP21",46,"Paris",10,NA,1368.178,0,7.579628274,0.883093359,4.099196627,0,0,NA,NA,NA,NA,NA,-0.262401678,0,0,0,NA,0,NA,0.623056650161743,63,1.7,1039.33,6.94633155376038,1
"SEN",2015,"COP21",211,"Paris",7,NA,4217.159,0,7.175424656,-0.26760624,2.95843277,0,0,NA,NA,NA,3.5,NA,0.061262371,0,0,0,NA,0,NA,-0.0468400530517101,44,80.2,NA,NA,1
"SLV",2015,"COP21",29,"Paris",10,NA,8984.298,0,6.800199878,0.086359831,3.61564686,0,0,NA,NA,NA,NA,NA,-0.064035744,0,0,0,NA,0,NA,-0.586034774780273,39,1.7,NA,NA,1
"SWZ",2015,"COP21",22,"Paris",10,NA,8846.426,0,6.120248417,-0.292429824,3.496504151,0,0,NA,NA,NA,NA,NA,-0.877636251,0,0,0,NA,0,NA,-0.231745570898056,NA,4.4,NA,NA,1
"TUN",2015,"COP21",49,"Paris",7,NA,1483.828,0,7.052064971,0.418301291,3.58298232,0,0,NA,NA,NA,NA,NA,-0.293784186,0,0,0,NA,0,NA,-0.113984152674675,38,16.7,NA,NA,1
"USA",2015,"COP21",147,"Paris",10,NA,5838.157,0,8.50636514,1.206015877,4.74979069,1,1,NA,NA,NA,NA,NA,1.964930837,1,0,0,NA,4.125968963,NA,1.29267823696136,76,NA,21655.59,9.98301889871743,1
